source_database,pmid,title,abstract,journal,year,publication_types,authors,doi,mesh_terms,url,source_databases_found,openalex_id,concepts,type,cited_by_count,dedupe_key,duplicate_group
OpenAlex,,Incidence and Costs of Neonatal Abstinence Syndrome Among Infants With Medicaid: 2004<b>–</b>2014,"OBJECTIVES: To describe incidence, health care use, and cost trends for infants with neonatal abstinence syndrome (NAS) who are covered by Medicaid compared with other infants. METHODS: We used 2004–2014 hospital birth data from the National Inpatient Sample, a nationally representative sample of hospital discharges in the United States (N = 13 102 793). Characteristics and trends among births impacted by NAS were examined by using univariate statistics and logistic regression. RESULTS: Medicaid covered 73.7% of NAS-related births in 2004 (95% confidence interval [CI], 68.9%–77.9%) and 82.0% of NAS-related births in 2014 (95% CI, 80.5%–83.5%). Among infants covered by Medicaid, NAS incidence increased more than fivefold during our study period, from 2.8 per 1000 births (95% CI, 2.1–3.6) in 2004 to 14.4 per 1000 births (95% CI, 12.9–15.8) in 2014. Infants with NAS who were covered by Medicaid were significantly more likely to be transferred to another hospital and have a longer length of stay than infants without NAS who were enrolled in Medicaid or infants with NAS who were covered by private insurance. Adjusting for inflation, total hospital costs for NAS births that were covered by Medicaid increased from $65.4 million in 2004 to $462 million in 2014. The proportion of neonatal hospital costs due to NAS increased from 1.6% in 2004 to 6.7% in 2014 among births that were covered by Medicaid. CONCLUSIONS: The number of Medicaid-financed births that are impacted by NAS has risen substantially and totaled $462 million in hospital costs in 2014. Improving affordable health insurance coverage for low-income women before pregnancy would expand access to substance use disorder treatment and could reduce NAS-related morbidity and costs.",PEDIATRICS,2018,,Tyler N. A. Winkelman; Nicole Villapiano; Katy B. Kozhimannil; Matthew M. Davis; Stephen W. Patrick,https://doi.org/10.1542/peds.2017-3520,,https://openalex.org/W2791800224,,https://openalex.org/W2791800224,Medicaid; Medicine; Incidence (geometry); Confidence interval; Demography; Logistic regression; Pediatrics; Pregnancy; Health care; Economics; Biology; Internal medicine; Physics; Sociology; Optics; Economic growth; Genetics,article,379,doi:10 1542 peds 2017 3520,143
PubMed,30039326,Oregon's Expansion of Prenatal Care Improved Utilization Among Immigrant Women.,"Objectives To determine whether expanding Emergency Medicaid to cover prenatal care in Oregon affected maternal health outcomes for unauthorized immigrants. Methods This study takes place in Oregon from 2003 to 2015 and includes all Emergency Medicaid and Medicaid claims for women aged 12-51 with a pregnancy related claim. To isolate the effect of expanding access to prenatal care, we utilized a difference-in-differences approach that exploits the staggered rollout of the prenatal care program. The primary outcome was a composite measure of severe maternal morbidity and mortality. Additional outcomes include adequacy of prenatal care, detection of pregnancy complications and birth outcomes. Results A total of 213,746 pregnancies were included, with 35,182 covered by Emergency Medicaid, 12,510 covered by Emergency Medicaid Plus (with prenatal care), and 166,054 covered by standard Medicaid. Emergency Medicaid Plus coverage did not affect severe maternal morbidity (all pregnancies 0.05%, CI - 0.29; 0.39; high-risk pregnancies 2.20%, CI - 0.47; 4.88). The program did reduce inadequate care among all pregnancies (- 31.75%, 95% CI - 34.47; - 29.02) and among high risk pregnancies (- 38.60%, CI - 44.17; - 33.02) and increased diagnosis of gestational diabetes (6.24%, CI 4.36; 8.13; high risk pregnancies 10.48%, CI 5.87; 15.08), and poor fetal growth (7.37%, CI 5.69; 9.05; high risk pregnancies 5.34%, CI 1.00; 9.68). The program also increased diagnosis of pre-existing diabetes mellitus (all pregnancies 2.93%, CI 2.16; 3.69), hypertensive diseases of pregnancy (all pregnancies 1.28%, CI 0.52; 2.04) and a history of preterm birth (all pregnancies 0.87%, CI 0.27; 1.47). Conclusions for Practice Oregon's prenatal care expansion program produced positive effects for unauthorized immigrant women and their children.",Maternal and child health journal,2019,Journal Article,Jonas J Swartz; Jens Hainmueller; Duncan Lawrence; Maria I Rodriguez,10.1007/s10995-018-2611-1,Adolescent; Adult; Child; Emigrants and Immigrants; Female; Humans; Medicaid; Middle Aged; Oregon; Patient Acceptance of Health Care; Pregnancy; Prenatal Care; State Government; United States,https://pubmed.ncbi.nlm.nih.gov/30039326/,,,,,,doi:10 1007 s10995 018 2611 1,155
OpenAlex,,Oregon’s Expansion of Prenatal Care Improved Utilization Among Immigrant Women,,Maternal and Child Health Journal,2018,,Jonas J. Swartz; Jens Hainmueller; Duncan Lawrence; María I. Rodríguez,https://doi.org/10.1007/s10995-018-2611-1,,https://openalex.org/W2883249340,,https://openalex.org/W2883249340,Medicine; Medicaid; Prenatal care; Pregnancy; Gestational diabetes; Obstetrics; Gestation; Health care; Population; Environmental health; Economics; Economic growth; Biology; Genetics,article,37,doi:10 1007 s10995 018 2611 1,155
PubMed,32720294,Using the Ecological Systems Theory to Understand Black/White Disparities in Maternal Morbidity and Mortality in the United States.,"Maternal morbidity and mortality (MMM) is a significant problem in the USA, with about 700 maternal deaths every year and an estimated 50,000 ""near misses."" Disparities in MMM by race are marked; black women are disproportionately affected. We use Urie Bronfenbrenner's ecological systems theory to examine the root causes of racial disparities in MMM at the individual (microsystem), interpersonal (mesosystem), community (exosystem), and societal (macrosystem) levels of influence. This review discusses the interaction of these levels of influence on racial disparities related to MMM-covering preconception health, access to prenatal care, implicit bias among health care providers and its possible influence on obstetric care, ""maternity care deserts,"" and the need for quality improvement among black-serving hospitals. Relevant policies-parental leave, Medicaid coverage during pregnancy, and Medicaid expansion-are considered. We also apply the ecological systems theory to identify interventions that would most likely reduce disparities in MMM by race, such as revising the educational curricula of health care professionals, enhancing utilization of alternate prenatal care providers, and reforming Medicaid policies.",Journal of racial and ethnic health disparities,2021,Journal Article; Review,Samia Noursi; Bani Saluja; Leah Richey,10.1007/s40615-020-00825-4,Black or African American; Ecosystem; Female; Health Status Disparities; Humans; Maternal Health; Maternal Mortality; Morbidity; Pregnancy; Systems Theory; United States; White People,https://pubmed.ncbi.nlm.nih.gov/32720294/,,,,,,doi:10 1007 s40615 020 00825 4,159
OpenAlex,,Using the Ecological Systems Theory to Understand Black/White Disparities in Maternal Morbidity and Mortality in the United States,,Journal of Racial and Ethnic Health Disparities,2020,,Samia Noursi; Bani Saluja; Leah Richey,https://doi.org/10.1007/s40615-020-00825-4,,https://openalex.org/W3045459192,,https://openalex.org/W3045459192,Prenatal care; Medicaid; Psychological intervention; Health equity; Medicine; Environmental health; Health care; Gerontology; Public health; Nursing; Political science; Population; Law,review,75,doi:10 1007 s40615 020 00825 4,159
PubMed,36096759,The economic impact of untreated maternal mental health conditions in Texas.,"Maternal mental health conditions (MMHCs), which include depression and anxiety disorders during pregnancy and through five years postpartum, are among the most common obstetric complications in the United States overall and in Texas in particular. In the context of potential expansion of postpartum Medicaid coverage from 60 days to one year, we sought to capture the societal, financial burden of untreated MMHCs.; We estimated the economic impact of untreated maternal mental health conditions (MMHCs) among births in Texas in 2019 using a cost-of-illness model.; We found that MMHCs affected 13.2% of mothers and, when left untreated, cost $2.2 billion among mothers and children born in Texas in 2019 when following the birth cohort from conception through five years postpartum. We found that MMHCs affected 17.2% of mothers enrolled in Texas' Medicaid for Pregnant Women and cost $962 million. In addition, the prevalence of MMHCs and resulting costs varied considerably among women of different races and ethnicities. Employers and health care payers, including Medicaid, bore most of these costs.; The Texas Health and Human Services Commission's (HHSC) efforts to increase awareness about MMHCs and increase access to care represent an important step toward improving maternal and child health and maximizing benefits to Texas HHSC, employers, and insurers.",BMC pregnancy and childbirth,2022,Journal Article,Caroline Margiotta; Jessica Gao; So O'Neil; Divya Vohra; Kara Zivin,10.1186/s12884-022-05001-6,Child; Female; Humans; Maternal Health; Medicaid; Mental Disorders; Mental Health; Pregnancy; Texas; United States,https://pubmed.ncbi.nlm.nih.gov/36096759/,,,,,,doi:10 1186 s12884 022 05001 6,160
OpenAlex,,The economic impact of untreated maternal mental health conditions in Texas,"BACKGROUND: Maternal mental health conditions (MMHCs), which include depression and anxiety disorders during pregnancy and through five years postpartum, are among the most common obstetric complications in the United States overall and in Texas in particular. In the context of potential expansion of postpartum Medicaid coverage from 60 days to one year, we sought to capture the societal, financial burden of untreated MMHCs. METHODS: We estimated the economic impact of untreated maternal mental health conditions (MMHCs) among births in Texas in 2019 using a cost-of-illness model. RESULTS: We found that MMHCs affected 13.2% of mothers and, when left untreated, cost $2.2 billion among mothers and children born in Texas in 2019 when following the birth cohort from conception through five years postpartum. We found that MMHCs affected 17.2% of mothers enrolled in Texas' Medicaid for Pregnant Women and cost $962 million. In addition, the prevalence of MMHCs and resulting costs varied considerably among women of different races and ethnicities. Employers and health care payers, including Medicaid, bore most of these costs. CONCLUSIONS: The Texas Health and Human Services Commission's (HHSC) efforts to increase awareness about MMHCs and increase access to care represent an important step toward improving maternal and child health and maximizing benefits to Texas HHSC, employers, and insurers.",BMC Pregnancy and Childbirth,2022,,Caroline Margiotta; Jessica Gao; So O’Neil; Divya Vohra; Kara Zivin,https://doi.org/10.1186/s12884-022-05001-6,,https://openalex.org/W4295430058,,https://openalex.org/W4295430058,Medicine; Reproductive medicine; Mental health; Environmental health; Public health; Pregnancy; Psychiatry; Obstetrics; Nursing; Biology; Genetics,article,36,doi:10 1186 s12884 022 05001 6,160
PubMed,35165924,Disparities in Prenatal Immunization Rates in Rural and Urban US Areas by Indicators of Access to Care.,"To evaluate disparities in urban-rural immunization rates among pregnant women by indicators of access to health care.; We analyzed Phase 8 (2016-2018) Pregnant Risk Assessment Monitoring System data for 82,603 respondents who recently gave birth to a live infant. Uptake of influenza (33 states) or Tdap (19 states) vaccines was compared for rural versus urban areas of participating states. We compared the prevalence of immunization for rural versus urban areas by indicators of health care access using average marginal predictive values from multivariable regression models.; Although nearly half (48.2%) of pregnant women in rural areas relied on Medicaid to fund prenatal care, rural-residing women were less likely to live in a state offering full coverage under Medicaid to pregnant women than urban-residing women (93.9% vs 98.0%, respectively). Among states with Medicaid programs not offering full access for pregnant women, influenza immunization coverage was 12% lower (aPR 0.88; 95% CI 0.82, 0.94) and Tdap immunization coverage was 20% lower (aPR 0.80; 95% CI 0.68, 0.95) for rural versus urban areas. Uninsured women in rural areas were less likely to receive influenza or Tdap vaccine compared to uninsured women in urban areas (aPR 0.65; 95% CI 0.50, 0.85 and aPR 0.73; 95% CI 0.57, 0.95, respectively).; Pregnant women residing in rural areas more commonly rely on Medicaid to financially support prenatal care but are less likely to have expanded or full access to Medicaid coverage, potentially contributing to disparities vaccine uptake during pregnancy and increased rates of vaccine-preventable disease.",The Journal of rural health : official journal of the American Rural Health Association and the National Rural Health Care Association,2023,"Journal Article; Research Support, U.S. Gov't, P.H.S.",Ravneet Kaur; Timothy Callaghan; Annette K Regan,10.1111/jrh.12647,"United States; Female; Pregnancy; Humans; Influenza, Human; Pregnant People; Immunization; Influenza Vaccines; Health Services Accessibility",https://pubmed.ncbi.nlm.nih.gov/35165924/,,,,,,doi:10 1111 jrh 12647,169
OpenAlex,,Disparities in Prenatal Immunization Rates in Rural and Urban US Areas by Indicators of Access to Care,"PURPOSE: To evaluate disparities in urban-rural immunization rates among pregnant women by indicators of access to health care. METHODS: We analyzed Phase 8 (2016-2018) Pregnant Risk Assessment Monitoring System data for 82,603 respondents who recently gave birth to a live infant. Uptake of influenza (33 states) or Tdap (19 states) vaccines was compared for rural versus urban areas of participating states. We compared the prevalence of immunization for rural versus urban areas by indicators of health care access using average marginal predictive values from multivariable regression models. FINDINGS: Although nearly half (48.2%) of pregnant women in rural areas relied on Medicaid to fund prenatal care, rural-residing women were less likely to live in a state offering full coverage under Medicaid to pregnant women than urban-residing women (93.9% vs 98.0%, respectively). Among states with Medicaid programs not offering full access for pregnant women, influenza immunization coverage was 12% lower (aPR 0.88; 95% CI 0.82, 0.94) and Tdap immunization coverage was 20% lower (aPR 0.80; 95% CI 0.68, 0.95) for rural versus urban areas. Uninsured women in rural areas were less likely to receive influenza or Tdap vaccine compared to uninsured women in urban areas (aPR 0.65; 95% CI 0.50, 0.85 and aPR 0.73; 95% CI 0.57, 0.95, respectively). CONCLUSIONS: Pregnant women residing in rural areas more commonly rely on Medicaid to financially support prenatal care but are less likely to have expanded or full access to Medicaid coverage, potentially contributing to disparities vaccine uptake during pregnancy and increased rates of vaccine-preventable disease.",The Journal of Rural Health,2022,,Ravneet Kaur; Timothy Callaghan; Annette K. Regan,https://doi.org/10.1111/jrh.12647,,https://openalex.org/W4213276384,,https://openalex.org/W4213276384,Medicaid; Medicine; Prenatal care; Rural area; Immunization; Environmental health; Demography; Pregnancy; Health care; Population; Economic growth; Immunology; Genetics; Sociology; Biology; Antigen; Pathology; Economics,article,10,doi:10 1111 jrh 12647,169
PubMed,34338791,Association of Expanded Prenatal Care Coverage for Immigrant Women With Postpartum Contraception and Short Interpregnancy Interval Births.,"Access to prenatal and postpartum care is restricted among women with low income who are recent or undocumented immigrants enrolled in Emergency Medicaid.; To examine the association of extending prenatal care coverage to Emergency Medicaid enrollees with postpartum contraception and short interpregnancy interval births.; This cohort study used a difference-in-differences design to compare the staggered rollout of prenatal care in Oregon with South Carolina, a state that does not cover prenatal or postpartum care. Linked Medicaid claims and birth certificate data from 2010 to 2016 were examined for an association between prenatal care coverage for women whose births were covered by Emergency Medicaid and subsequent short IPI births. Additional maternal and infant health outcomes were also examined, including postpartum contraceptive use, preterm birth, and neonatal intensive care unit admission. The association between the policy change and measures of policy implementation (number of prenatal visits) and quality of care (receipt of 8 guideline-based screenings) was also analyzed. Statistical analysis was performed from August 2020 to March 2021.; Medicaid coverage of prenatal care.; Postpartum contraceptive use, defined as receipt of any contraceptive method within 60 days of delivery; short IPI births, defined as occurring within 18 months of a previous pregnancy.; The study population consisted of 26 586 births to women enrolled in Emergency Medicaid in Oregon and South Carolina. Among these women, 14 749 (55.5%) were aged 25 to 35 years, 25 894 (97.4%) were Black, Hispanic, Native American, Alaskan, Pacific Islander, or Asian women or women with unknown race/ethnicity, and 17 905 (67.3%) lived in areas with urban zip codes. Coverage of prenatal care for women in Emergency Medicaid was associated with significant increases in mean (SD) prenatal visits (increase of 10.3 [0.9] prenatal visits) and prenatal quality. Prenatal care screenings (eg, anemia screening: increase of 65.7 percentage points [95% CI, 54.2 to 77.1 percentage points]) and vaccinations (eg, influenza vaccination: increase of 31.9 percentage points [95% CI, 27.4 to 36.3 percentage points]) increased significantly following the policy change. Although postpartum contraceptive use increased following prenatal care expansion (increase of 1.5 percentage points [95% CI, 0.4 to 2.6 percentage points]), the policy change was not associated with a reduction in short IPI births (-4.5 percentage points [95% CI, -9.5 to 0.5 percentage points), preterm births (-0.6 percentage points [95% CI, -3.2 to 2.0 percentage points]), or neonatal intensive care unit admissions (increase of 0.8 percentage points [95% CI, -2.0 to 3.6 percentage points]).; This study found that expanding Emergency Medicaid benefits to include prenatal care significantly improved receipt of guideline-concordant prenatal care. Prenatal care coverage alone was not associated with a meaningful increase in postpartum contraception or a reduction in subsequent short IPI births.",JAMA network open,2021,"Journal Article; Research Support, N.I.H., Extramural",Maria I Rodriguez; Menolly Kaufman; Stephan Lindner; Aaron B Caughey; Ana Lopez DeFede; K John McConnell,10.1001/jamanetworkopen.2021.18912,Adult; Birth Intervals; Contraception Behavior; Emigrants and Immigrants; Family Planning Services; Female; Health Services Accessibility; Hispanic or Latino; Humans; Insurance Coverage; Medicaid; Patient Acceptance of Health Care; Postpartum Period; Poverty; Pregnancy; Prenatal Care; Time Factors; Undocumented Immigrants; United States,https://pubmed.ncbi.nlm.nih.gov/34338791/,,,,,,doi:10 1001 jamanetworkopen 2021 18912,189
OpenAlex,,Association of Expanded Prenatal Care Coverage for Immigrant Women With Postpartum Contraception and Short Interpregnancy Interval Births,"Importance: Access to prenatal and postpartum care is restricted among women with low income who are recent or undocumented immigrants enrolled in Emergency Medicaid. Objective: To examine the association of extending prenatal care coverage to Emergency Medicaid enrollees with postpartum contraception and short interpregnancy interval births. Design, Setting, and Participants: This cohort study used a difference-in-differences design to compare the staggered rollout of prenatal care in Oregon with South Carolina, a state that does not cover prenatal or postpartum care. Linked Medicaid claims and birth certificate data from 2010 to 2016 were examined for an association between prenatal care coverage for women whose births were covered by Emergency Medicaid and subsequent short IPI births. Additional maternal and infant health outcomes were also examined, including postpartum contraceptive use, preterm birth, and neonatal intensive care unit admission. The association between the policy change and measures of policy implementation (number of prenatal visits) and quality of care (receipt of 8 guideline-based screenings) was also analyzed. Statistical analysis was performed from August 2020 to March 2021. Exposures: Medicaid coverage of prenatal care. Main Outcomes and Measures: Postpartum contraceptive use, defined as receipt of any contraceptive method within 60 days of delivery; short IPI births, defined as occurring within 18 months of a previous pregnancy. Results: The study population consisted of 26 586 births to women enrolled in Emergency Medicaid in Oregon and South Carolina. Among these women, 14 749 (55.5%) were aged 25 to 35 years, 25 894 (97.4%) were Black, Hispanic, Native American, Alaskan, Pacific Islander, or Asian women or women with unknown race/ethnicity, and 17 905 (67.3%) lived in areas with urban zip codes. Coverage of prenatal care for women in Emergency Medicaid was associated with significant increases in mean (SD) prenatal visits (increase of 10.3 [0.9] prenatal visits) and prenatal quality. Prenatal care screenings (eg, anemia screening: increase of 65.7 percentage points [95% CI, 54.2 to 77.1 percentage points]) and vaccinations (eg, influenza vaccination: increase of 31.9 percentage points [95% CI, 27.4 to 36.3 percentage points]) increased significantly following the policy change. Although postpartum contraceptive use increased following prenatal care expansion (increase of 1.5 percentage points [95% CI, 0.4 to 2.6 percentage points]), the policy change was not associated with a reduction in short IPI births (-4.5 percentage points [95% CI, -9.5 to 0.5 percentage points), preterm births (-0.6 percentage points [95% CI, -3.2 to 2.0 percentage points]), or neonatal intensive care unit admissions (increase of 0.8 percentage points [95% CI, -2.0 to 3.6 percentage points]). Conclusions and Relevance: This study found that expanding Emergency Medicaid benefits to include prenatal care significantly improved receipt of guideline-concordant prenatal care. Prenatal care coverage alone was not associated with a meaningful increase in postpartum contraception or a reduction in subsequent short IPI births.",JAMA Network Open,2021,,María I. Rodríguez; Menolly Kaufman; Stephan Lindner; Aaron B. Caughey; Ana Lopez Defede; K. John McConnell,https://doi.org/10.1001/jamanetworkopen.2021.18912,,https://openalex.org/W3190901851,,https://openalex.org/W3190901851,Obstetrics; Immigration; Medicine; Fertility; Prenatal care; Population; Environmental health; Political science; Law,article,25,doi:10 1001 jamanetworkopen 2021 18912,189
PubMed,28383380,State Medicaid Coverage of Medically Necessary Abortions and Severe Maternal Morbidity and Maternal Mortality.,"To estimate the association between state Medicaid coverage of medically necessary abortion and severe maternal morbidity and in-hospital maternal mortality in the United States.; We used data on pregnancy-related hospitalizations from the Nationwide Inpatient Sample from 2000 to 2011 (weighted n=38,016,845). State-level Medicaid coverage of medically necessary abortion for each year was determined from Guttmacher Institute reports. We used multivariable logistic regression to examine the association between state Medicaid coverage of abortion and severe maternal morbidity and in-hospital maternal mortality, overall and stratified by payer.; The unadjusted rate of severe maternal morbidity was lower among Medicaid-paid hospitalizations in states with Medicaid coverage of medically necessary abortion relative to those in states without such coverage (62.4 compared with 69.3 per 10,000). Among Medicaid-paid hospitalizations in states with Medicaid coverage of medically necessary abortion, there were 8.5 per 10,000 fewer cases (95% confidence interval [CI] 4.0-16.5) of severe maternal morbidity in adjusted analyses relative to those in states without such Medicaid coverage. Similarly, there were 10.3 per 10,000 fewer cases (95% CI 3.5-17.2) of severe maternal morbidity in adjusted analyses among private insurance-paid hospitalizations in states with Medicaid coverage of medically necessary abortion relative to those in states without such Medicaid coverage. The adjusted rate of in-hospital maternal mortality was not different for Medicaid-paid hospitalizations in states with and without Medicaid coverage of medically necessary abortion (9.2 and 9.0 per 100,000, respectively) nor for private insurance-paid hospitalizations (5.6 and 6.1 per 100,000, respectively).; State Medicaid coverage of medically necessary abortion was associated with an average 16% decreased risk of severe maternal morbidity. An association between state Medicaid coverage of medically necessary abortion and a reduced risk of severe maternal morbidity was observed in women covered by both Medicaid and private insurance. Results suggest that Medicaid coverage of medically necessary abortion is not harmful to maternal health.",Obstetrics and gynecology,2017,Journal Article,Marian Jarlenski; Jennifer A Hutcheon; Lisa M Bodnar; Hyagriv N Simhan,10.1097/AOG.0000000000001982,"Abortion, Therapeutic; Adult; Age Factors; Diagnosis-Related Groups; Ethnicity; Female; Humans; Maternal Health Services; Maternal Mortality; Medicaid; Patient Discharge; Postoperative Complications; Pregnancy; Severity of Illness Index; United States",https://pubmed.ncbi.nlm.nih.gov/28383380/,,,,,,doi:10 1097 aog 0000000000001982,200
OpenAlex,,State Medicaid Coverage of Medically Necessary Abortions and Severe Maternal Morbidity and Maternal Mortality,"OBJECTIVE: To estimate the association between state Medicaid coverage of medically necessary abortion and severe maternal morbidity and in-hospital maternal mortality in the United States. METHODS: We used data on pregnancy-related hospitalizations from the Nationwide Inpatient Sample from 2000 to 2011 (weighted n=38,016,845). State-level Medicaid coverage of medically necessary abortion for each year was determined from Guttmacher Institute reports. We used multivariable logistic regression to examine the association between state Medicaid coverage of abortion and severe maternal morbidity and in-hospital maternal mortality, overall and stratified by payer. RESULTS: The unadjusted rate of severe maternal morbidity was lower among Medicaid-paid hospitalizations in states with Medicaid coverage of medically necessary abortion relative to those in states without such coverage (62.4 compared with 69.3 per 10,000). Among Medicaid-paid hospitalizations in states with Medicaid coverage of medically necessary abortion, there were 8.5 per 10,000 fewer cases (95% confidence interval [CI] 4.0-16.5) of severe maternal morbidity in adjusted analyses relative to those in states without such Medicaid coverage. Similarly, there were 10.3 per 10,000 fewer cases (95% CI 3.5-17.2) of severe maternal morbidity in adjusted analyses among private insurance-paid hospitalizations in states with Medicaid coverage of medically necessary abortion relative to those in states without such Medicaid coverage. The adjusted rate of in-hospital maternal mortality was not different for Medicaid-paid hospitalizations in states with and without Medicaid coverage of medically necessary abortion (9.2 and 9.0 per 100,000, respectively) nor for private insurance-paid hospitalizations (5.6 and 6.1 per 100,000, respectively). CONCLUSION: State Medicaid coverage of medically necessary abortion was associated with an average 16% decreased risk of severe maternal morbidity. An association between state Medicaid coverage of medically necessary abortion and a reduced risk of severe maternal morbidity was observed in women covered by both Medicaid and private insurance. Results suggest that Medicaid coverage of medically necessary abortion is not harmful to maternal health.",Obstetrics and Gynecology,2017,,Marian Jarlenski; Jennifer A. Hutcheon; Lisa M. Bodnar; Hyagriv N. Simhan,https://doi.org/10.1097/aog.0000000000001982,,https://openalex.org/W2604284952,,https://openalex.org/W2604284952,Medicaid; Medicine; Abortion; Confidence interval; Logistic regression; Pregnancy; Demography; Obstetrics; Health care; Internal medicine; Sociology; Biology; Economic growth; Genetics; Economics,article,22,doi:10 1097 aog 0000000000001982,200
PubMed,35977301,"Association of Medicaid Expansion in Arkansas With Postpartum Coverage, Outpatient Care, and Racial Disparities.","Non-Hispanic Black individuals are disproportionally covered by Medicaid during pregnancy and, compared with non-Hispanic White individuals, have higher rates of postpartum coverage loss and mortality. Expanded Medicaid coverage under the Affordable Care Act may have increased continuity of coverage and access to care in the critical postpartum period in expansion states.; To examine the association of Medicaid expansion in Arkansas with continuous postpartum coverage, postpartum health care use, and change in racial disparities in the study outcomes.; This cohort study with a difference-in-differences analysis compared persons with Medicaid and commercially financed childbirth, stratified by race, using Arkansas' All-Payer Claims Database for persons with a childbirth between 2013 and 2015. Race and ethnicity from birth certificate data were classified as Hispanic, non-Hispanic Black (hereafter Black), non-Hispanic White (hereafter White), and other (including Asian, Native American or Alaska Native, and Pacific Islander) or unknown race. Data were analyzed between June 2020 and August 2021.; Medicaid-paid childbirth after January 1, 2014.; Continuous health insurance coverage and the number of outpatient visits during the first 6 months postpartum.; A total of 60 990 childbirths (mean [SD] age of birthing person, 27 [5.3] years; 67% White, 22% Black, and 7% Hispanic) were included, among which 72.3% were paid for by Medicaid and 27.7% were paid for by a commercial payer. Medicaid expansion in Arkansas was associated with a 27.8 (95% CI, 26.1-29.5) percentage point increase in continuous insurance coverage and an increase in outpatient visits of 0.9 (95% CI, 0.7-1.1) during the first 6 months postpartum, representing relative increases of 54.9% and 75.0%, respectively. Racial disparities in postpartum coverage decreased from 6.3 (95% CI, 3.9-8.7) percentage points before expansion to -2.0 (95% CI, -2.8 to -1.2) percentage points after expansion. However, disparities in outpatient care between Black and White individuals persisted after Medicaid expansion (preexpansion difference, 0.4 [95% CI, 0.2-0.6] visits; postexpansion difference, 0.5 [95% CI, 0.4-0.6] visits).; In this cohort study with a difference-in-differences analysis of 60 990 childbirths, Medicaid expansion was associated with higher rates of postpartum coverage and outpatient visits and lower racial and ethnic disparities in postpartum coverage. However, disparities in outpatient visits between Black and White individuals were unchanged. Additional policy approaches are needed to reduce racial and ethnic disparities in postpartum care.",JAMA health forum,2021,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, P.H.S.",Maria W Steenland; Ira B Wilson; Kristen A Matteson; Amal N Trivedi,10.1001/jamahealthforum.2021.4167,"Ambulatory Care; Arkansas; Child, Preschool; Cohort Studies; Female; Humans; Medicaid; Patient Protection and Affordable Care Act; Postpartum Period; Pregnancy; United States",https://pubmed.ncbi.nlm.nih.gov/35977301/,,,,,,doi:10 1001 jamahealthforum 2021 4167,209
OpenAlex,,"Association of Medicaid Expansion in Arkansas With Postpartum Coverage, Outpatient Care, and Racial Disparities","Importance: Non-Hispanic Black individuals are disproportionally covered by Medicaid during pregnancy and, compared with non-Hispanic White individuals, have higher rates of postpartum coverage loss and mortality. Expanded Medicaid coverage under the Affordable Care Act may have increased continuity of coverage and access to care in the critical postpartum period in expansion states. Objective: To examine the association of Medicaid expansion in Arkansas with continuous postpartum coverage, postpartum health care use, and change in racial disparities in the study outcomes. Design Setting and Participants: This cohort study with a difference-in-differences analysis compared persons with Medicaid and commercially financed childbirth, stratified by race, using Arkansas' All-Payer Claims Database for persons with a childbirth between 2013 and 2015. Race and ethnicity from birth certificate data were classified as Hispanic, non-Hispanic Black (hereafter Black), non-Hispanic White (hereafter White), and other (including Asian, Native American or Alaska Native, and Pacific Islander) or unknown race. Data were analyzed between June 2020 and August 2021. Exposures: Medicaid-paid childbirth after January 1, 2014. Main Outcomes and Measures: Continuous health insurance coverage and the number of outpatient visits during the first 6 months postpartum. Results: A total of 60 990 childbirths (mean [SD] age of birthing person, 27 [5.3] years; 67% White, 22% Black, and 7% Hispanic) were included, among which 72.3% were paid for by Medicaid and 27.7% were paid for by a commercial payer. Medicaid expansion in Arkansas was associated with a 27.8 (95% CI, 26.1-29.5) percentage point increase in continuous insurance coverage and an increase in outpatient visits of 0.9 (95% CI, 0.7-1.1) during the first 6 months postpartum, representing relative increases of 54.9% and 75.0%, respectively. Racial disparities in postpartum coverage decreased from 6.3 (95% CI, 3.9-8.7) percentage points before expansion to -2.0 (95% CI, -2.8 to -1.2) percentage points after expansion. However, disparities in outpatient care between Black and White individuals persisted after Medicaid expansion (preexpansion difference, 0.4 [95% CI, 0.2-0.6] visits; postexpansion difference, 0.5 [95% CI, 0.4-0.6] visits). Conclusions and Relevance: In this cohort study with a difference-in-differences analysis of 60 990 childbirths, Medicaid expansion was associated with higher rates of postpartum coverage and outpatient visits and lower racial and ethnic disparities in postpartum coverage. However, disparities in outpatient visits between Black and White individuals were unchanged. Additional policy approaches are needed to reduce racial and ethnic disparities in postpartum care.",JAMA Health Forum,2021,,Maria W. Steenland; Ira B. Wilson; Kristen A. Matteson; Amal N. Trivedi,https://doi.org/10.1001/jamahealthforum.2021.4167,,https://openalex.org/W4200414079,,https://openalex.org/W4200414079,Medicaid; Medicine; Childbirth; Demography; Birth certificate; Ethnic group; Socioeconomic status; Health care; Gerontology; Family medicine; Pregnancy; Population; Environmental health; Political science; Genetics; Sociology; Law; Biology,article,28,doi:10 1001 jamahealthforum 2021 4167,209
